,Model,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,"Samsung UE65MU7055 65"" LED UltraHD 4K",858.06,876.18,929.24,859.48,864.88,801.55,816.94,989.0,834.1700000000001,803.46,800.275,800.275,801.55,768.015,799.0,799.0,799.0,800.275,800.275,799.0,1348.99,1348.99,1348.99,1348.99,1348.99
6,"Samsung UE65NU7025 65"" LED UltraHD 4K",1091.28,1091.28,1113.79,1113.79,1113.79,1113.79,1113.79,1113.79,1113.79,1108.19,1108.19,1113.79,1102.57,1102.57,1102.57,1102.57,1102.57,1102.57,1102.57,1113.79,1113.79,1113.79,1113.79,1113.79,1113.79
7,"Samsung UE65NU7092 65"" LED UltraHD 4K",858.06,876.18,929.24,859.48,864.88,801.55,698.99,989.0,834.1700000000001,803.46,698.99,800.275,801.55,768.015,799.0,698.99,698.99,800.275,800.275,799.0,784.0,673.995,729.4300000000001,764.4300000000001,729.4300000000001
8,"Samsung UE65NU7505 65"" LED UltraHD 4K",858.06,876.18,2750.0,2750.0,2750.0,801.55,816.94,989.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0
9,"Samsung UE65RU6025 65"" LED UltraHD 4K",858.06,876.18,929.24,859.48,864.88,801.55,816.94,989.0,834.1700000000001,803.46,800.275,800.275,801.55,768.015,799.0,799.0,799.0,800.275,800.275,799.0,649.0,649.0,649.0,649.0,649.0
10,"Samsung UE65RU7025 65"" LED Ultra HD 4K",801.55,801.55,801.55,801.55,801.55,801.55,816.94,989.0,801.55,801.55,801.55,801.55,801.55,768.015,799.0,799.0,801.55,801.55,801.55,801.55,801.55,569.0,569.0,569.0,569.0
11,"Samsung UE65RU7025 65"" LED Ultra HD 4K Reacondicionado",858.06,876.18,929.24,859.48,864.88,801.55,816.94,989.0,834.1700000000001,803.46,800.275,800.275,801.55,768.015,799.0,799.0,799.0,800.275,800.275,799.0,529.8,529.8,529.8,529.8,529.8
12,"Samsung UE65RU7105KXXC 65"" LED UltraHD 4K",619.0,619.0,619.0,619.0,619.0,619.0,968.89,968.89,619.0,963.99,963.99,811.25,811.25,768.015,799.0,799.0,799.0,800.275,800.275,799.0,784.0,673.995,968.89,968.89,968.89
13,"Samsung UE65RU7305 65"" LED UltraHD 4K Curvo",739.0,876.18,929.24,859.48,864.88,801.55,816.94,989.0,834.1700000000001,803.46,800.275,800.275,801.55,768.015,799.0,799.0,799.0,800.275,800.275,799.0,784.0,673.995,729.4300000000001,764.4300000000001,729.4300000000001
14,"Samsung UE65RU7405UXXC 65"" LED UltraHD 4K",858.06,876.18,929.24,859.48,864.88,801.55,816.94,989.0,834.1700000000001,803.46,800.275,800.275,801.55,768.015,799.0,799.0,799.0,800.275,800.275,799.0,629.99,629.99,629.99,629.99,629.99
15,"Samsung UE65TU7005KXXC 65"" LED UltraHD 4K",858.06,876.18,929.24,859.48,864.88,801.55,816.94,989.0,834.1700000000001,803.46,800.275,761.97,746.69,767.03,767.03,767.03,759.86,759.86,759.86,759.86,759.86,759.86,759.86,759.86,759.86
16,"Samsung UE65TU7072 65"" LED UltraHD 4K",599.0,876.18,929.24,859.48,599.0,801.55,816.94,989.0,834.1700000000001,803.46,800.275,800.275,801.55,768.015,799.0,799.0,799.0,800.275,800.275,799.0,784.0,650.08,729.4300000000001,764.4300000000001,729.4300000000001
17,"Samsung UE65TU7105 65"" LED UltraHD 4K",858.06,659.0,659.0,659.0,864.88,726.0,726.0,726.0,726.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0
18,"Samsung UE65TU7105 65"" LED UltraHD 4K Reacondicionado",858.06,876.18,929.24,859.48,864.88,801.55,816.94,989.0,834.1700000000001,803.46,800.275,800.275,801.55,768.015,799.0,799.0,799.0,800.275,800.275,799.0,598.7,598.7,598.7,598.7,598.7
19,"Samsung UE65TU7172 65"" LED UltraHD 4K",619.0,619.0,619.0,619.0,619.0,619.0,619.0,989.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0,619.0
20,"Samsung UE65TU7172 65"" LED UltraHD 4K Reacondicionado",858.06,876.18,929.24,859.48,864.88,801.55,816.94,989.0,834.1700000000001,803.46,800.275,800.275,801.55,768.015,799.0,799.0,799.0,800.275,800.275,799.0,528.4,528.4,528.4,528.4,528.4
21,"Samsung UE65TU8005 65"" LED UltraHD 4K",858.06,876.18,929.24,859.48,864.88,801.55,769.0,989.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0
22,"Samsung UE65TU8005 65"" LED UltraHD 4K Reacondicionado",858.06,876.18,929.24,859.48,864.88,801.55,816.94,989.0,834.1700000000001,803.46,800.275,800.275,801.55,768.015,799.0,799.0,799.0,800.275,800.275,729.6,729.6,673.995,729.4300000000001,764.4300000000001,729.4300000000001
23,"Samsung UE65TU8072U 65"" LED UltraHD 4K",858.06,876.18,929.24,859.48,864.88,801.55,816.94,989.0,834.1700000000001,803.46,800.275,699.0,801.55,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0
24,"Samsung UE65TU8505 65"" LED UltraHD 4K",858.06,876.18,929.24,859.48,864.88,801.55,816.94,989.0,834.1700000000001,803.46,800.275,800.275,879.0,768.015,799.0,799.0,879.0,879.0,879.0,799.0,784.0,673.995,729.4300000000001,764.4300000000001,729.4300000000001
