,EAN Code,TV Model,PVP,TVs
2158,8806098236329.0,20MK400H-B.AEU,67.98,True
2159,8806098408023.0,24TL510V-WZ.AEU,105.67,True
2160,8806098385706.0,OLED55E9PLA.AEU,1399.0,True
2161,8806098388691.0,43UM7400PLB.AEU,314.22,True
2162,8806098408771.0,49SM8200PLA.AEU,527.17,True
2163,8806098387854.0,49UM7400PLB.AEU,349.32,True
2164,8806098387854.0,49UM7400PLB.AEU,349.32,True
2165,8806098387854.0,49UM7400PLB.AEU,349.32,True
2166,8806098388691.0,43UM7400PLB.AEU,314.22,True
2167,8806098387854.0,49UM7400PLB.AEU,349.32,True
2168,8806098387854.0,49UM7400PLB.AEU,349.32,True
2169,8806098384259.0,OLED77C9PLA.AEU,3409.38,True
2170,8806098068197.0,OLW480B.AEU,3409.38,True
2171,8806098293957.0,24TL510S-PZ.AEU,125.18,True
2172,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2173,8806098383269.0,49SM9000PLA.AEU,662.67,True
2174,8806098388691.0,43UM7400PLB.AEU,314.22,True
2175,8806098387854.0,49UM7400PLB.AEU,349.32,True
2176,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2177,8806098385676.0,OLED55C9PLA.AEU,1279.95,True
2178,8806098424870.0,55UM7660PLA.AEU,482.71,True
2179,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2180,8806098110193.0,22MK400H-B.AEU,80.3,True
2181,8806087301045.0,34UM69G-B.AEU,280.36,True
2182,8806087863444.0,PH150G.AEU,228.91,True
2183,8806087301045.0,34UM69G-B.AEU,280.36,True
2184,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2185,8806098386468.0,65UM7400PLB.AEU,599.75,True
2186,8806098387854.0,49UM7400PLB.AEU,349.32,True
2187,8806087863444.0,PH150G.AEU,228.91,True
2188,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2189,8806098387854.0,49UM7400PLB.AEU,515.75,True
2190,8806098544172.0,24GL650-B.AEU,515.75,True
2191,8806098383269.0,49SM9000PLA.AEU,662.67,True
2192,8806098387854.0,49UM7400PLB.AEU,349.32,True
2193,8806098383269.0,49SM9000PLA.AEU,662.67,True
2194,8806087301045.0,34UM69G-B.AEU,333.03,True
2195,8806098110193.0,22MK400H-B.AEU,80.3,True
2196,8806098110193.0,22MK400H-B.AEU,80.3,True
2197,8806098383269.0,49SM9000PLA.AEU,647.87,True
2198,8806098385676.0,OLED55C9PLA.AEU,1699.14,True
2199,8806098385676.0,OLED55C9PLA.AEU,1699.14,True
2200,8806098396252.0,43UM7100PLB.AEU,299.42,True
2201,8806087593136.0,25UM58-P.AEU,5.0,True
2202,8806098383269.0,49SM9000PLA.AEU,662.67,True
2203,8806098388691.0,43UM7400PLB.AEU,314.22,True
2204,8806098089710.0,27GK750F-B.AEU,277.36,True
2205,8806098385706.0,OLED55E9PLA.AEU,1399.0,True
2206,8806098385676.0,OLED55C9PLA.AEU,1207.83,True
2207,8806098338764.0,27MK600M-W.AEU,147.5,True
2208,8806098396467.0,60UM7100PLB.AEU,523.94,True
2209,8806098293957.0,24TL510S-PZ.AEU,708.64,True
2210,8806098383269.0,49SM9000PLA.AEU,708.64,True
2211,8806098408887.0,55SM8200PLA.AEU,549.5,True
2212,8806098383269.0,49SM9000PLA.AEU,662.67,True
2213,8806098396375.0,49UM7100PLB.AEU,356.13,True
2214,8806098544172.0,24GL650-B.AEU,166.43,True
2215,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2216,8806098387854.0,49UM7400PLB.AEU,349.32,True
2217,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2218,8806098387854.0,49UM7400PLB.AEU,349.32,True
2219,8806087301045.0,34UM69G-B.AEU,280.36,True
2220,8806098388691.0,43UM7400PLB.AEU,314.22,True
2221,8806098388691.0,43UM7400PLB.AEU,314.22,True
2222,8806098383269.0,49SM9000PLA.AEU,647.87,True
2223,8806098383269.0,49SM9000PLA.AEU,662.67,True
2224,8806098388691.0,43UM7400PLB.AEU,314.22,True
2225,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2226,8806098388691.0,43UM7400PLB.AEU,314.22,True
2227,8806098388691.0,43UM7400PLB.AEU,314.22,True
2228,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2229,8806098396375.0,49UM7100PLB.AEU,391.12,True
2230,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2231,8806098383269.0,49SM9000PLA.AEU,576.88,True
2232,8806098385706.0,OLED55E9PLA.AEU,1395.45,True
2233,8806098388691.0,43UM7400PLB.AEU,314.22,True
2234,8806098387960.0,43UM7600PLB.AEU,426.7,True
2235,8806098385706.0,OLED55E9PLA.AEU,1399.0,True
2236,8806098385676.0,OLED55C9PLA.AEU,1207.83,True
2237,8806098385706.0,OLED55E9PLA.AEU,1399.0,True
2238,8806098383771.0,55SM8600PLA.AEU,596.64,True
2239,8806098409006.0,65SM8200PLA.AEU,734.66,True
2240,8806087301618.0,27MP89HM-S.AEU,283.05,True
2241,8806098335732.0,24MK600M-W.AEU,120.22,True
2242,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2243,8806087633771.0,24MP88HV-S.AEU,209.41,True
2244,8806098385706.0,OLED55E9PLA.AEU,1399.0,True
2245,8806098383771.0,55SM8600PLA.AEU,596.64,True
2246,8806098424870.0,55UM7660PLA.AEU,482.71,True
2247,8806087301045.0,34UM69G-B.AEU,280.36,True
2248,8806098424573.0,55SM9010PLA.AEU,795.31,True
2249,8806098388691.0,43UM7400PLB.AEU,314.22,True
2250,8806098388691.0,43UM7400PLB.AEU,314.22,True
2251,8806098388127.0,49UM7390PLC.AEU,434.16,True
2252,8806098293957.0,24TL510S-PZ.AEU,134.65,True
2253,8806098532537.0,24TL510S-WZ.AEU,134.65,True
2254,8806087301618.0,27MP89HM-S.AEU,212.39,True
2255,8806098359349.0,27UK670-B.AEU,430.32,True
2256,8806098388691.0,43UM7400PLB.AEU,314.22,True
2257,8806098396375.0,49UM7100PLB.AEU,391.12,True
2258,8806098359349.0,27UK670-B.AEU,860.64,True
2259,8806098359349.0,27UK670-B.AEU,860.64,True
2260,8806098293957.0,24TL510S-PZ.AEU,134.65,True
2261,8806098532568.0,28TL510S-WZ.AEU,159.37,True
2262,8806098532568.0,28TL510S-WZ.AEU,159.37,True
2263,8806098383269.0,49SM9000PLA.AEU,662.67,True
2264,8806098408023.0,24TL510V-WZ.AEU,99.11,True
2265,8806098388547.0,43UM7450PLA.AEU,419.86,True
2266,8806098388691.0,43UM7400PLB.AEU,314.22,True
2267,8806098532537.0,24TL510S-WZ.AEU,131.74,True
2268,8806098386468.0,65UM7400PLB.AEU,1196.4,True
2269,8806098386468.0,65UM7400PLB.AEU,1196.4,True
2270,8806098532537.0,24TL510S-WZ.AEU,131.74,True
