,Unnamed: 0,Model,Price,day
16,16,"LG 60UU640C 60"" Pantalla Profesional LED UltraHD 4K HDR","1149,82",9
17,17,"LG 65UM7610PLB 65"" LED IPS UltraHD 4K","864,88",9
18,18,"LG 65UM7000PLA 65"" LED UltraHD 4K","701,82",9
0,0,"LG 65UM7050 65"" LED UltraHD 4K",579,10
1,1,"LG 65UM7510PLA 65"" LED UltraHD 4K","649,99",10
2,2,"LG 65UN71006LB 65"" LED UltraHD 4K",639,10
3,3,"LG 65UM7100PLA 65"" LED UltraHD 4K HDR","803,46",10
4,4,"LG 65UN74006LB 65"" LED UltraHD 4K",699-799,10
5,5,"Philips 65PUS8535 65"" LED UltraHD 4K",819-859,10
6,6,"LG 65UN73006LA 65"" LED UltraHD 4K","749,99",10
7,7,"LG 60UN71006LB 60"" LED UltraHD 4K",579,10
8,8,"LG 65UN80006LA 65"" LED UltraHD 4K",699,10
9,9,65NANO866NA Reacondicionado,"1042,50",10
10,10,65NANO866NA,"1098,99",10
11,11,"LG 65SM8050PLC 65"" LED NanoCell UltraHD 4K","1278,70",10
12,12,"LG 65UM7400PLB 65"" LED UltraHD 4K",699,10
13,13,"LG 65UN80003LA 65"" LED UltraHD 4K",649,10
14,14,"LG 65NANO816NA 65"" LED IPS Nanocell UltraHD 4K",999,10
15,15,"LG 65NANO806NA 65"" LED IPS Nanocell UltraHD 4K",979,10
16,16,"LG 60UU640C 60"" Pantalla Profesional LED UltraHD 4K HDR","1149,82",10
17,17,"LG 65UN85003LA 65"" LED UltraHD 4K",799,10
18,18,"LG 65UN85006LA 65"" LED UltraHD 4K",879,10
19,19,"LG 65UM7000PLA 65"" LED UltraHD 4K","701,82",10
0,0,"LG 65UM7050 65"" LED UltraHD 4K",579,11
1,1,"LG 65UM7510PLA 65"" LED UltraHD 4K","649,99",11
2,2,"LG 65UM7450PLA 65"" LED UltraHD 4K",619,11
3,3,"LG 65UN71006LB 65"" LED UltraHD 4K",639,11
4,4,"LG 65UM7100PLA 65"" LED UltraHD 4K HDR","899,01",11
5,5,"LG 65UN74006LB 65"" LED UltraHD 4K",699-799,11
6,6,"Philips 65PUS8535 65"" LED UltraHD 4K",819-859,11
7,7,"LG 65UN73006LA 65"" LED UltraHD 4K","749,99",11
8,8,"LG 60UN71006LB 60"" LED UltraHD 4K",579,11
9,9,"LG 65UN80006LA 65"" LED UltraHD 4K",699,11
10,10,"LG 60UN71003LB 60"" LED UltraHD 4K","538,99",11
11,11,65NANO866NA Reacondicionado,"1042,50",11
12,12,65NANO866NA,"1098,99",11
13,13,"LG 65SM8050PLC 65"" LED NanoCell UltraHD 4K","1278,70",11
14,14,"LG 65NANO816NA 65"" LED IPS Nanocell UltraHD 4K",999,11
15,15,"LG 65UM7050 65"" LED UltraHD 4K Reacondicionado","521,05",11
16,16,"LG 65UN80003LA 65"" LED UltraHD 4K",649,11
17,17,"LG 65UM7400PLB 65"" LED UltraHD 4K",699,11
18,18,"LG 65UN85003LA 65"" LED UltraHD 4K",799,11
19,19,"LG 65NANO863NA 65"" LED IPS Nanocell UltraHD 4K","1098,99",11
